batter,player_name,total_pa,uab,cab,uab_rate,cab_rate,PCA+
650333,luis arráez,608,96,512,15.79,84.21,215.3
608070,josé ramírez,664,112,552,16.87,83.13,199.0
660670,ronald acuña,734,129,605,17.57,82.43,189.4
605141,mookie betts,688,122,566,17.73,82.27,187.3
592450,aaron judge,447,84,363,18.79,81.21,174.5
665742,juan soto,698,133,565,19.05,80.95,171.5
608369,corey seager,546,113,433,20.7,79.3,154.7
608324,alex bregman,728,152,576,20.88,79.12,153.0
605170,víctor caratini,227,49,178,21.59,78.41,146.7
650402,gleyber torres,668,145,523,21.71,78.29,145.6
663656,kyle tucker,672,146,526,21.73,78.27,145.5
670541,yordan álvarez,497,108,389,21.73,78.27,145.4
518692,freddie freeman,723,159,564,21.99,78.01,143.2
457705,andrew mccutchen,468,103,365,22.01,77.99,143.1
680757,steven kwan,707,156,551,22.07,77.93,142.6
665489,vladimir guerrero,679,151,528,22.24,77.76,141.2
676475,alec burleson,347,78,269,22.48,77.52,139.2
607043,brandon nimmo,675,152,523,22.52,77.48,138.9
650490,yandy díaz,606,137,469,22.61,77.39,138.2
